filename	total_features	plantmasst_features	percentage	Sample_type	MS_type	PERIOD	TREAT	wet_weight	SampleID	diet
Sep2023_conjBA_BeefDiet_034_L1-3.mzML	125575859.120193	24129210.42209	19.214847974080033	L1-3	MS1_pos	DP2	AAD	26.4	201.0	American
Sep2023_conjBA_BeefDiet_054_L1-125.mzML	217712742.356744	56803491.624419995	26.091027566655615	L1-125	MS1_pos	DP2	AAD	24.1	230.0	American
Sep2023_conjBA_BeefDiet_123_L1-81_20230922221546.mzML	167118843.820706	28440445.889494997	17.018096367401526	L1-81	MS1_pos	DP2	AAD	25.9	219.0	American
Sep2023_conjBA_BeefDiet_125_L1-136.mzML	126984548.99711701	20350382.796984002	16.025873193002425	L1-136	MS1_pos	DP1	AAD	24.3	234.0	American
Sep2023_conjBA_BeefDiet_047_L1-13.mzML	141884330.551615	32238238.39045	22.721493109996597	L1-13	MS1_pos	DP1	AAD	25.0	204.0	American
Sep2023_conjBA_BeefDiet_140_L1-107.mzML	140548933.429382	30950436.017625995	22.02111055732548	L1-107	MS1_pos	DP4	AAD	27.3	226.0	American
Sep2023_conjBA_BeefDiet_064_L1-89.mzML	199881055.385359	73291664.58105	36.66763938170526	L1-89	MS1_pos	DP3	AAD	25.2	222.0	American
Sep2023_conjBA_BeefDiet_135_L1-132.mzML	318164107.369406	107126730.71565	33.67027525555232	L1-132	MS1_pos	DP3	AAD	25.7	232.0	American
Sep2023_conjBA_BeefDiet_042_L1-41.mzML	146131800.208961	35179103.148650005	24.073543950287128	L1-41	MS1_pos	DP3	AAD	23.9	210.0	American
Sep2023_conjBA_BeefDiet_039_L1-10.mzML	289001277.445357	75015929.957984	25.956954454005015	L1-10	MS1_pos	DP4	AAD	28.8	202.0	American
Sep2023_conjBA_BeefDiet_107_L1-114.mzML	430914633.830138	105364113.709034	24.451273045084704	L1-114	MS1_pos	DP1	AAD	28.8	228.0	American
Sep2023_conjBA_BeefDiet_065_L1-146.mzML	234458253.67646	77593794.43873402	33.094929788997476	L1-146	MS1_pos	DP4	AAD	22.6	236.0	American
Sep2023_conjBA_BeefDiet_043_L1-72.mzML	279893291.19517505	73959953.31955999	26.42433943441191	L1-72	MS1_pos	DP3	AAD	22.6	217.0	American
Sep2023_conjBA_BeefDiet_075_L1-76.mzML	311655965.88384104	83496515.608876	26.791245716116478	L1-76	MS1_pos	DP2	AAD	24.2	218.0	American
Sep2023_conjBA_BeefDiet_022_L1-63.mzML	169409902.478374	39314754.085455	23.206880772789372	L1-63	MS1_pos	DP4	AAD	26.6	215.0	American
Sep2023_conjBA_BeefDiet_130_L1-49.mzML	165332166.02375102	47034965.54394	28.44876872730448	L1-49	MS1_pos	DP1	AAD	23.8	212.0	American
Sep2023_conjBA_BeefDiet_160_L1-99.mzML	158924844.512791	38851394.495554	24.446394529854054	L1-99	MS1_pos	DP4	AAD	26.1	224.0	American
Sep2023_conjBA_BeefDiet_147_L1-121.mzML	308590430.933955	72720545.64885	23.565392299676898	L1-121	MS1_pos	DP3	AAD	22.0	229.0	American
Sep2023_conjBA_BeefDiet_109_L1-34.mzML	257434330.35670897	71981884.28242502	27.961260715571495	L1-34	MS1_pos	DP1	AAD	24.8	209.0	American
Sep2023_conjBA_BeefDiet_015_L1-25.mzML	149123053.95501	28580982.88574	19.166039138631643	L1-25	MS1_pos	DP2	AAD	25.6	207.0	American
Sep2023_conjBA_BeefDiet_145_L1-65.mzML	218719878.409199	52810658.409990005	24.14534005509436	L1-65	MS1_pos	DP1	AAD	27.9	216.0	American
Sep2023_conjBA_BeefDiet_006_L1-46.mzML	130337018.187976	35157344.49768	26.974181998682074	L1-46	MS1_pos	DP3	AAD	26.9	211.0	American
Sep2023_conjBA_BeefDiet_023_L1-58.mzML	368654680.6833	106357187.20975	28.850084586642804	L1-58	MS1_pos	DP4	AAD	23.5	214.0	American
Sep2023_conjBA_BeefDiet_100_L1-29.mzML	174652526.99398	39963936.425960004	22.88196862295471	L1-29	MS1_pos	DP1	AAD	24.5	208.0	American
Sep2023_conjBA_BeefDiet_077_L1-102.mzML	189132333.147914	55514917.06106001	29.352420147877982	L1-102	MS1_pos	DP2	AAD	24.3	225.0	American
Sep2023_conjBA_BeefDiet_119_L1-45.mzML	122578355.944439	30200943.04089	24.63807154876442	L1-45	MS1_pos	DP2	MED2.5	26.3	211.0	Mediterranean
Sep2023_conjBA_BeefDiet_095_L1-87.mzML	126234855.054495	33644443.24402	26.652261159959227	L1-87	MS1_pos	DP1	MED2.5	27.5	222.0	Mediterranean
