filename	total_features	plantmasst_features	percentage	Sample_type	MS_type	PERIOD	TREAT	wet_weight	SampleID	diet
Sep2023_conjBA_BeefDiet_034_L1-3.mzML	125575859.120193	833133.0780000001	0.6634500323844725	L1-3	MS1_pos	DP2	AAD	26.4	201.0	American
Sep2023_conjBA_BeefDiet_054_L1-125.mzML	217712742.356744	607767.84132	0.2791604362431446	L1-125	MS1_pos	DP2	AAD	24.1	230.0	American
Sep2023_conjBA_BeefDiet_123_L1-81_20230922221546.mzML	167118843.820706	536371.63726	0.3209522187907475	L1-81	MS1_pos	DP2	AAD	25.9	219.0	American
Sep2023_conjBA_BeefDiet_125_L1-136.mzML	126984548.99711701	485260.07629	0.38214104008907185	L1-136	MS1_pos	DP1	AAD	24.3	234.0	American
Sep2023_conjBA_BeefDiet_047_L1-13.mzML	141884330.551615	601674.9221500001	0.4240601621129132	L1-13	MS1_pos	DP1	AAD	25.0	204.0	American
Sep2023_conjBA_BeefDiet_057_L1-112.mzML	322668721.74073	992598.50309	0.30762154377255396	L1-112	MS1_pos	DP4	AAD	25.5	227.0	American
Sep2023_conjBA_BeefDiet_140_L1-107.mzML	140548933.429382	167326.8183	0.11905235722338116	L1-107	MS1_pos	DP4	AAD	27.3	226.0	American
Sep2023_conjBA_BeefDiet_135_L1-132.mzML	318164107.369406	459599.77813	0.14445368521609492	L1-132	MS1_pos	DP3	AAD	25.7	232.0	American
Sep2023_conjBA_BeefDiet_042_L1-41.mzML	146131800.208961	777342.4948	0.5319461566123458	L1-41	MS1_pos	DP3	AAD	23.9	210.0	American
Sep2023_conjBA_BeefDiet_039_L1-10.mzML	289001277.445357	1091095.3799	0.3775399851325222	L1-10	MS1_pos	DP4	AAD	28.8	202.0	American
Sep2023_conjBA_BeefDiet_107_L1-114.mzML	430914633.830138	1189129.114854	0.2759546837118421	L1-114	MS1_pos	DP1	AAD	28.8	228.0	American
Sep2023_conjBA_BeefDiet_065_L1-146.mzML	234458253.67646	678574.0092	0.2894221033209589	L1-146	MS1_pos	DP4	AAD	22.6	236.0	American
